address,lat,lon
"Občina Kranjska Gora, Kolodvorska ul. 1b,Kr. Gora",46.4853813,13.7847827
"Zdravstveni dom Jesenice, C. m. Tita 78, Jesenice",46.4401664,14.0449152
"Vrtec Angelce Ocepek, C. C. Tavčarja 3A, Jesenice",46.438863,14.0432072
"OŠ P. Stražišarja-1, Ul. V. Kejžarja 35, Jesenice",46.4339347,14.0637407
"OŠ P. Stražišarja-2, Ul. V. Kejžarja 35, Jesenice",46.4339347,14.0637407
"GD Javorniški Rovt, Javorniški Rovt 17, Jav. Rovt",46.4525111,14.0914913
"OŠ Blejska Dobrava, Blejska Dobrava 44,Bl.Dobrava",46.4097625,14.0975278
"Bohinjska hiša, Mencingerjeva ulica 4, Boh.Bistr.",46.2733429,13.9517718
"Dom Joža Ažmana, Triglavska c. 16, Boh. Bistrica",46.2728904,13.9515056
"Gasilski dom Bitnje, Bitnje 13, Boh. Bistrica",46.2843604,13.9624547
"Gasilski dom Nomenj, Nomenj 23, Boh. Bistrica",46.2926092,14.0064112
"Gasilski dom Kamnje, Kamnje 26 a, Boh.Bistrica",46.2716187,13.9159147
"Šola na Koprivniku, Koprivnik 4, Boh. Bistrica",46.3049698,13.9806126
"Gasilski dom Gorjuše, Gorjuše 36 a, Boh.Bistrica",46.3161657,14.0111166
"Avla podružnične šole, Srednja vas 69,Sr.vas v B. ",46.2976064,13.9230483
"Center TNP Bohinj, Stara Fužina 37, B.jez.",46.2879339,13.8936598
"Športni park Rad.,soba PD, Ul.S. Žagarja 2b, Rad.",46.3481415,14.1698831
"Predoslje, Kulturni dom, Predoslje 34",46.268414,14.384535
"Podblica, GD, Podblica 2, Zg. Besnica",46.2578803,14.2113705
"Cerklje na Gor. I, OŠ D.Jenko,Krvavška c.4",46.2539769,14.4890083
"Češnjevek, Vaški dom, Češnjevek 11 a",46.2635296,14.4693485
"Lahovče, Gasilski dom, Lahovče 74",46.2194259,14.5051576
"Poženik, Vaški dom Poženik, Poženik 6",46.2503934,14.5105677
"Spodnji Brnik, Gasilski dom, Sp.Brnik, Sp.Brnik 5a",46.2305011,14.487761
"Šenturška Gora, Krajevni dom, Šenturška Gora 11",46.2584219,14.545363
"Štefanja Gora, Gasilski dom, Štefanja Gora 30",46.2868798,14.4849897
"Velesovo, Gasilski dom, Velesovo 53",46.2655936,14.4521153
"Zalog, Osnovna šola, Zalog pri Cerkljah 29",46.2298352,14.5178605
"Zgornji Brnik, Gasilski dom, Zgornji Brnik 8",46.2410955,14.48431
"Goriče, OŠ S. Jenko-telovadnica, Sr. vas-Goriče 1",46.3185158,14.3473205
"Hrastje, Športni center Graben, Hrastje 209",46.2211514,14.3783737
"Tenetiše, Dom druž. pol. org., Tenetiše 80",46.2961171,14.3471668
"Trstenik, Dom krajevne skupnosti, Trstenik 8 a",46.3159182,14.3679107
"Duplje, Gasilski dom Duplje, Zgornje Duplje 8",46.304334,14.2949807
"Podbrezje, Kulturni dom, Podbrezje 147",46.3022996,14.2753642
"Preddvor, Večnam. INFO center, Dvorski trg 3",46.3020835,14.4223637
"Zgornja Bela, Dom krajanov, Zgornja Bela 67",46.2993428,14.4017431
"Luže, Gasilski dom, Luže 27",46.2671963,14.4317596
"Olševek, Gasilsko društvo Olševek, Olševek 18    ",46.2793875,14.4375492
"Srednja vas, Gasilski dom, Srednja vas pri Š. 68",46.2565613,14.4245625
"Visoko, Dom krajanov, Visoko 67",46.2730208,14.4184114
"Trboje, Dom krajanov, Trboje 39",46.1953817,14.4108431
"Sp. Jezersko, Gostilna Kanonir, Sp. Jezersko 5",46.3817406,14.4686581
"Zg. Jezersko, Korotan, Zgornje Jezersko 57",46.3931254,14.498481
"Hotemaže, Vaški gasilski dom, Hotemaže 80",46.2844533,14.4225525
"Lom pod Storž., Dom krajanov, Lom pod Storžičem 56",46.3674086,14.3369721
"Pristava, Fundacija V. Drakslerja, Pristavška 16",46.3495391,14.2979526
"Krajevna skupnost Godešič, Godešič 100, Šk. Loka",46.1665883,14.3536422
"OŠ Škofja Loka-Mesto, Šolska ulica 1, Šk. Loka",46.1681772,14.3057877
"Zdravstveni dom Šk. Loka, Stara cesta 10, Šk.Loka",46.1661753,14.3128112
"OŠ Cvetko Golar I., Frankovo naselje 51, Šk. Loka",46.1696428,14.3290101
"OŠ Cvetko Golar II., Frankovo naselje 51,Šk.Loka",46.1696428,14.3290101
"OŠ Cvetko Golar III., Frankovo naselje 51,Šk.Loka",46.1696428,14.3290101
"Trgovina kmečki stroji, Sv. Barbara 23, Šk. Loka",46.1133749,14.3131686
"Tržnica Škofja Loka, Partizanska cesta 1, Šk.Loka",46.1703868,14.30668
"Dutovlje,  Bunčetova domačija, Dutovlje 65",45.7561465,13.8550816
"Skopo, vaška dvorana, Skopo 49",45.7740713,13.8229507
"Kopriva, dvorana vaške skupnosti, Kopriva 14",45.7811944,13.8340385
"Krajna vas, hiša Gec Cvetke, Krajna vas 40",45.7700031,13.8063597
"Kazlje, dom KS, Kazlje 40",45.7641622,13.9069045
"Veliki Dol, dvorana stare OŠ, Veliki Dol 53",45.7712136,13.7544905
"Povir, ZDD, Povir 24",45.6999891,13.9322388
"Dol pri Vogljah, ZDD, Dol pri Vogljah bš",45.7269547,13.8113208
"Štjak, bivša OŠ, Štjak 40",45.7947092,13.9041901
"Štorje, ZDD, Štorje 26",45.738859,13.9288798
"Križ, Vaški dom, Križ 2",46.3062124,14.8578811
