IME,X,Y
Jesenice,419832.305,145741.64
Radovljica 1,418362.68,133234.43
Radovljica 2,437541.465,134208.495
Kranj 1,451485.16500000004,124940.445
Kranj 2,445483.45,120258.43
Kranj 3,455068.24,129920.135
Tržič,449109.20499999996,138058.68
Škofja Loka 1,444280.98,114593.26
Škofja Loka 2,431832.185,111866.16
Kamnik,477954.615,125670.66500000001
Idrija,422594.22,99984.795
Tolmin,399177.43500000006,121414.47
Piran,373522.99360000005,48951.564999999995
Izola,376244.9036,52804.204999999994
Koper 1,387000.1436,57607.865
Koper 2,409004.17500000005,42541.225
Sežana,411476.75,59750.4
Ilirska Bistrica,445056.93,48853.99
Postojna,440808.845,68134.945
Nova Gorica 1,397178.27,95721.45000000001
Nova Gorica 2,396712.93,90917.985
Ajdovščina,417048.72,82898.91
Logatec,448641.085,74515.795
Vrhnika,446117.43,89550.47
Ljubljana Vič-Rudnik 1,463263.05000000005,86062.56
Ljubljana Vič-Rudnik 2,565539.7703,42087.49729999999
Ljubljana Vič-Rudnik 3,552886.6453,46840.159799999994
Ljubljana Vič-Rudnik 4,449277.78500000003,101385.745
Ljubljana Center,560414.0203,52442.959800000004
Ljubljana Šiška 1,556175.4453,58612.1473
Ljubljana Šiška 2,549799.2578,59932.74729999999
Ljubljana Šiška 3,549766.8828,65294.134800000014
Ljubljana Šiška 4,456252.66500000004,111480.365
Kočevje,492133.995,53106.505000000005
Ribnica-Dobrepolje,475859.46499999997,66444.595
Grosuplje,474369.385,89425.025
Ivančna Gorica,485646.445,84949.13500000001
Ljubljana Moste-Polje 1,472795.07999999996,101585.08
Ljubljana Moste-Polje 2,568126.3577999999,51432.284799999994
Ljubljana Moste-Polje 3,573123.6328,56992.872299999995
Ljubljana Bežigrad 1,572710.7827999999,66450.5723
Ljubljana Bežigrad 2,563603.2078,59133.784799999994
Domžale 1,480004.255,112424.16
Domžale 2,466792.57,111765.27
Šentjur,533424.96,116626.73999999999
Celje 1,521772.075,126357.7
Celje 2,520024.28500000003,120627.625
Žalec 1,510537.375,128869.92
Žalec 2,504161.875,124230.83499999999
Mozirje,483573.905,133869.835
Velenje 1,510555.2,135892.39
Velenje 2,500459.045,137852.10499999998
Slovenj Gradec,510814.855,148533.125
Ravne na Koroškem,488083.29000000004,152838.505
Radlje,514110.25,159312.315
Črnomelj,516872.275,48287.205
Novo mesto 1,507933.56,71246.12
Novo mesto 2,511895.895,73800.33499999999
Trebnje,503489.53500000003,87822.26000000001
Brežice,547395.8400000001,88869.76000000001
Krško,535059.855,88040.41
Sevnica,519827.275,93177.805
Laško,517071.875,108172.805
Litija,492702.095,101102.72
Hrastnik-Trbovlje,506547.45499999996,110839.975
Zagorje,496052.365,109893.545
Šmarje pri Jelšah,547688.29,111635.88
Slovenska Bistrica,540386.905,138551.47499999998
Slovenske Konjice,530088.925,137804.24
Ruše,533483.205,157845.66
Maribor 1,547768.265,151805.53999999998
Maribor 2,554627.705,149276.805
Maribor 3,556048.3999999999,154973.91999999998
Maribor 4,581820.369,109097.427
Maribor 5,579437.454,101259.10200000001
Maribor 6,575468.0340000002,93851.11200000001
Maribor 7,581289.894,96774.972
Lendava,608775.67,161966.375
Ormož,588910.745,145478.46000000002
Ljutomer,589260.63,155902.15
Murska Sobota 1,590336.7649999999,178385.235
Murska Sobota 2,593217.83,167485.325
Gornja Radgona,572544.4550000001,164641.435
Lenart,566393.535,162349.42
Pesnica,551594.975,166282.66999999998
Ptuj 1,570461.0800000001,146779.71000000002
Ptuj 2,566559.325,142585.03000000003
Ptuj 3,567033.78,134386.095
